URL,Title,Author,Genres
https://www.goodreads.com/book/show/20746307,শৈল রহস্য,Sharadindu Bandyopadhyay,"Detective, Thriller, Classics"
https://www.goodreads.com/book/show/35056299,মান্ডুর রুপমতী,Buddhadeb Guha,N/A
https://www.goodreads.com/book/show/36105449,N/A,N/A,N/A
https://www.goodreads.com/book/show/34326121,রুপোর টাকা,Adrish Bardhan,N/A
https://www.goodreads.com/book/show/25683066,নবজাগরণের নায়কেরা,Sanjib Chattopadhyay,N/A
https://www.goodreads.com/book/show/53317914,শ্রেষ্ঠ গল্প,Narayan Gangopadhyay,N/A
https://www.goodreads.com/book/show/35173104,বুদ্ধদের বসুর প্রবন্ধসমগ্র ১,Buddhadeva Bose,N/A
https://www.goodreads.com/book/show/17159575,অলৌকিক নয় লৌকিক,Prabir Ghosh,Nonfiction
https://www.goodreads.com/book/show/32126149--,ঋজুদার সঙ্গে সুফ্‌কর-এ,Buddhadeb Guha,Fiction
https://www.goodreads.com/book/show/17834552,জগমগি,Buddhadeb Guha,N/A
https://www.goodreads.com/book/show/132650222-boundless-sky,Boundless Sky,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/17880331--,দেশ-দেশান্তরের কবিতা,Buddhadeva Bose,N/A
https://www.goodreads.com/book/show/159755352-upanishad-in-the-eyes-of-rabindra-nath-tagore,"Upanishad in the eyes of Rabindra Nath Tagore: An anthology of the poet Tagore's writings, interpretative of and related to Upanishadic verse",Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/89090448-uponnash-shomogro-ssh--6,Uponnash Shomogro [Ssh] -6,Syed Shamsul Haque,N/A
https://www.goodreads.com/book/show/17054984-satyajit-ray-on-cinema,Satyajit Ray on Cinema,Satyajit Ray,"Film, Nonfiction"
https://www.goodreads.com/book/show/48570936,সতীনাথ ভাদুড়ীর শ্রেষ্ঠ গল্প,Satinath Bhaduri,N/A
https://www.goodreads.com/book/show/37666978,অর্ধেক মানবী,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/211047489-mahajan,Mahajan,Bimal Mitra,N/A
https://www.goodreads.com/book/show/39694977,বৈশাখে রচিত পংক্তিমালা,Syed Shamsul Haque,N/A
https://www.goodreads.com/book/show/617705.Music_Is_a_Hungry_Ghost,Music Is a Hungry Ghost,W.B. Yeats,N/A
https://www.goodreads.com/book/show/36692093,ডোরাকাটা জামা,Sanjib Chattopadhyay,N/A
